Id,Category
1,1
2,8
3,0
4,0
5,4
6,5
7,5
8,9
9,8
10,6
11,6
12,8
13,7
14,1
15,9
16,7
17,7
18,9
19,8
20,5
21,3
22,8
23,5
24,7
25,6
26,5
27,1
28,6
29,0
30,8
31,5
32,1
33,5
34,1
35,2
36,3
37,5
38,5
39,9
40,4
41,2
42,8
43,9
44,5
45,9
46,8
47,4
48,9
49,1
50,6
51,5
52,7
53,8
54,0
55,7
56,0
57,1
58,4
59,1
60,0
61,9
62,5
63,1
64,6
65,2
66,2
67,2
68,5
69,7
70,0
71,0
72,7
73,9
74,8
75,7
76,0
77,0
78,0
79,2
80,9
81,0
82,5
83,7
84,5
85,0
86,0
87,0
88,7
89,8
90,7
91,1
92,3
93,6
94,1
95,5
96,4
97,9
98,1
99,9
100,9
101,1
102,1
103,9
104,4
105,6
106,4
107,8
108,5
109,8
110,7
111,5
112,7
113,9
114,6
115,6
116,1
117,9
118,4
119,7
120,7
121,6
122,8
123,0
124,9
125,8
126,5
127,0
128,5
129,1
130,8
131,9
132,5
133,0
134,0
135,7
136,8
137,2
138,8
139,0
140,9
141,1
142,2
143,5
144,6
145,0
146,1
147,9
148,0
149,7
150,4
151,1
152,4
153,7
154,8
155,2
156,1
157,8
158,8
159,5
160,1
161,5
162,0
163,8
164,8
165,8
166,4
167,4
168,8
169,0
170,2
171,7
172,5
173,2
174,9
175,1
176,8
177,6
178,0
179,3
180,1
181,1
182,1
183,3
184,5
185,1
186,5
187,8
188,0
189,1
190,6
191,7
192,5
193,7
194,7
195,2
196,1
197,5
198,7
199,1
200,0
201,8
202,7
203,9
204,7
205,6
206,4
207,6
208,6
209,4
210,9
211,1
212,4
213,9
214,0
215,0
216,1
217,1
218,8
219,1
220,2
221,4
222,0
223,5
224,4
225,5
226,2
227,1
228,9
229,8
230,5
231,5
232,7
233,8
234,5
235,1
236,6
237,6
238,7
239,5
240,0
241,8
242,7
243,0
244,0
245,9
246,8
247,7
248,5
249,3
250,9
251,8
252,5
253,2
254,8
255,8
256,5
257,9
258,5
259,2
260,6
261,6
262,8
263,6
264,0
265,7
266,1
267,8
268,4
269,7
270,4
271,6
272,3
273,3
274,5
275,2
276,8
277,5
278,0
279,9
280,1
281,0
282,4
283,6
284,8
285,6
286,7
287,6
288,7
289,3
290,9
291,0
292,7
293,0
294,0
295,8
296,3
297,8
298,0
299,6
300,5
301,8
302,3
303,1
304,2
305,7
306,8
307,4
308,6
309,6
310,4
311,6
312,9
313,3
314,0
315,7
316,9
317,0
318,9
319,9
320,2
321,0
322,7
323,5
324,1
325,8
326,9
327,6
328,4
329,5
330,9
331,6
332,5
333,8
334,6
335,0
336,6
337,1
338,5
339,9
340,6
341,7
342,0
343,2
344,3
345,7
346,5
347,1
348,2
349,7
350,6
351,2
352,4
353,9
354,8
355,7
356,7
357,4
358,1
359,3
360,0
361,8
362,7
363,2
364,1
365,7
366,6
367,2
368,0
369,8
370,5
371,6
372,8
373,9
374,9
375,6
376,8
377,7
378,8
379,4
380,6
381,7
382,6
383,1
384,8
385,7
386,1
